"PVWatts Hourly PV Performance Data"
"Requested Location","5230 Dexter Ann Arbor Rd"
"Location","Lat, Lng: 42.29, -83.82"
"Latitude (DD)","42.29"
"Longitude (DD)","-83.82"
"Elevation (m)","268.2799987793"
"DC System Size (kW)","8.55"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","225"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","Yes (0.7)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"7","20","19","142","33","23","1.1","0.16","75.732","25.075","426.647","377.641"
"7","20","20","0","0","22","1.3","0.16","0","22","0","0"
"7","20","21","0","0","21","1.7","0.16","0","21","0","0"
"7","20","22","0","0","20","1.9","0.16","0","20","0","0"
"7","20","23","0","0","20","1.9","0.16","0","20","0","0"
"7","21","0","0","0","19","1.7","0.16","0","19","0","0"
"7","21","1","0","0","18","1.4","0.16","0","18","0","0"
"7","21","2","0","0","18","1.2","0.16","0","18","0","0"
"7","21","3","0","0","18","1.2","0.16","0","18","0","0"
"7","21","4","0","0","18","1.4","0.16","0","18","0","0"
"7","21","5","40","9","19","2.1","0.16","10.532","19.179","45.826","10.314"
"7","21","6","388","59","21","2.6","0.16","68.639","21.921","478.285","427.449"
"7","21","7","610","85","23","2.6","0.16","155.943","25.498","884.222","819.002"
"7","21","8","732","98","25","2.8","0.16","357.948","31.586","2386.898","2268.432"
"7","21","9","325","299","26","3.2","0.16","467.188","34.566","3248.407","3099.415"
"7","21","10","336","365","27","3.6","0.16","607.918","37.582","4161.214","3979.877"
"7","21","11","248","436","27","3.7","0.16","661.077","38.386","4484.573","4291.779"
"7","21","12","8","186","27","3.4","0.16","191.838","30.426","1293.624","1213.897"
"7","21","13","88","440","26","2.9","0.16","545.328","36.672","3699.249","3534.282"
"7","21","14","92","405","25","3","0.16","517.081","34.964","3542.037","3382.64"
"7","21","15","116","351","24","3","0.16","490.404","33.48","3401.103","3246.699"
"7","21","16","0","26","24","2.9","0.16","25.47","24.496","164.362","124.649"
"7","21","17","137","186","24","2.8","0.16","293.294","29.902","2089.527","1981.598"
"7","21","18","269","91","23","1.9","0.16","224.628","28.365","1590.498","1500.252"
"7","21","19","200","30","21","1.2","0.16","84.451","23.239","464.553","414.204"
"7","21","20","0","0","20","1.1","0.16","0","20","0","0"
"7","21","21","0","0","19","1","0.16","0","19","0","0"
"7","21","22","0","0","18","0.9","0.16","0","18","0","0"
"7","21","23","0","0","18","0.8","0.16","0","18","0","0"
"7","22","0","0","0","18","0.8","0.16","0","18","0","0"
"7","22","1","0","0","17","0.7","0.16","0","17","0","0"
"7","22","2","0","0","17","0.7","0.16","0","17","0","0"
"7","22","3","0","0","16","0.8","0.16","0","16","0","0"
