"PVWatts Hourly PV Performance Data"
"Requested Location","5230 Dexter Ann Arbor Rd"
"Location","Lat, Lng: 42.29, -83.82"
"Latitude (DD)","42.29"
"Longitude (DD)","-83.82"
"Elevation (m)","268.2799987793"
"DC System Size (kW)","20"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","225"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","Yes (0.7)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"11","2","9","0","112","0","4.4","0.87","134.299","1.738","2432.067","2266.618"
"11","2","10","1","151","1","4.8","0.87","182.946","3.251","3303.339","3107.018"
"11","2","11","9","181","1","5.1","0.87","227.323","3.704","4105.099","3880.368"
"11","2","12","0","94","2","5.3","0.87","113.138","3.297","2000.283","1850.134"
"11","2","13","0","149","2","5.4","0.87","183.211","4.089","3287.148","3091.4"
"11","2","14","106","184","1","5.4","0.87","345.74","5.09","6353.188","6048.798"
"11","2","15","172","122","0","5.2","0.87","288.492","3.683","5355.88","5086.829"
"11","2","16","268","62","0","4.6","0.87","215.889","3.228","3876.016","3659.402"
"11","2","17","0","0","0","3.6","0.87","0","0","0","0"
"11","2","18","0","0","-1","2.9","0.87","0","-1","0","0"
"11","2","19","0","0","-2","2.9","0.13","0","-2","0","0"
"11","2","20","0","0","-3","3","0.13","0","-3","0","0"
"11","2","21","0","0","-3","3.2","0.13","0","-3","0","0"
"11","2","22","0","0","-4","3.3","0.13","0","-4","0","0"
"11","2","23","0","0","-3","3.3","0.13","0","-3","0","0"
"11","3","0","0","0","-3","3.1","0.13","0","-3","0","0"
"11","3","1","0","0","-3","2.9","0.13","0","-3","0","0"
"11","3","2","0","0","-3","2.6","0.13","0","-3","0","0"
"11","3","3","0","0","-3","2.5","0.13","0","-3","0","0"
"11","3","4","0","0","-3","2.4","0.13","0","-3","0","0"
"11","3","5","0","0","-3","2.4","0.13","0","-3","0","0"
"11","3","6","0","0","-2","2.5","0.13","0","-2","0","0"
"11","3","7","0","11","-1","2.8","0.13","10.646","-0.813","118.917","35.432"
"11","3","8","172","78","0","3.4","0.13","99.16","1.716","1605.094","1468.947"
"11","3","9","768","73","0","4.1","0.13","346.502","5.653","6051.586","5757.883"
"11","3","10","152","201","1","4.6","0.13","286.93","5.422","5237.032","4972.192"
"11","3","11","97","232","1","4.7","0.13","303.994","5.614","5517.644","5242.86"
"11","3","12","24","206","2","4.7","0.13","225.593","5.406","4050.078","3827.296"
"11","3","13","314","208","2","4.6","0.13","482.124","9.464","8773.786","8383.624"
"11","3","14","14","154","2","4.3","0.13","168.322","4.685","3029.071","2842.468"
"11","3","15","249","115","1","3.6","0.13","299.851","6.409","5537.094","5261.622"
"11","3","16","0","17","0","2.3","0.13","16.441","0.359","269.795","180.964"
"11","3","17","0","0","-1","1.4","0.13","0","-1","0","0"
"11","3","18","0","0","-2","1.4","0.13","0","-2","0","0"
"11","3","19","0","0","-3","1.4","0.87","0","-3","0","0"
"11","3","20","0","0","-4","1.4","0.87","0","-4","0","0"
"11","3","21","0","0","-4","1.4","0.87","0","-4","0","0"
"11","3","22","0","0","-4","1.3","0.87","0","-4","0","0"
"11","3","23","0","0","-3","1.3","0.87","0","-3","0","0"
"11","4","0","0","0","-3","1.3","0.87","0","-3","0","0"
"11","4","1","0","0","-3","1.2","0.87","0","-3","0","0"
"11","4","2","0","0","-3","1.1","0.87","0","-3","0","0"
"11","4","3","0","0","-3","1.1","0.87","0","-3","0","0"
"11","4","4","0","0","-3","1.2","0.87","0","-3","0","0"
"11","4","5","0","0","-2","1.4","0.87","0","-2","0","0"
"11","4","6","0","0","-2","1.9","0.87","0","-2","0","0"
"11","4","7","0","12","-1","2.5","0.87","14.531","-0.779","165.42","80.287"
"11","4","8","302","68","0","3","0.87","145.156","1.96","2337.02","2174.938"
"11","4","9","510","99","0","3.5","0.87","330.332","5.04","5856.851","5570.048"
"11","4","10","668","101","2","4","0.87","528.423","9.916","9665.996","9244.22"
"11","4","11","630","133","4","4.4","0.87","652.13","13.197","11756.882","11261.018"
"11","4","12","669","127","5","4.4","0.87","745.909","15.493","13331.294","12779.642"
"11","4","13","666","117","6","4.1","0.87","755.527","17.058","13467.362","12910.889"
"11","4","14","550","119","6","3.5","0.87","643.57","16.197","11568.416","11079.23"
"11","4","15","33","113","5","2.7","0.87","172.684","8.06","3091.213","2902.408"
"11","4","16","247","61","3","2.1","0.87","202.509","7.507","3553.775","3348.579"
"11","4","17","0","0","2","2.1","0.87","0","2","0","0"
"11","4","18","0","0","2","2.3","0.87","0","2","0","0"
"11","4","19","0","0","2","2.5","0.13","0","2","0","0"
"11","4","20","0","0","1","2.6","0.13","0","1","0","0"
"11","4","21","0","0","1","2.6","0.13","0","1","0","0"
"11","4","22","0","0","1","2.6","0.13","0","1","0","0"
"11","4","23","0","0","1","2.7","0.13","0","1","0","0"
"11","5","0","0","0","1","2.9","0.13","0","1","0","0"
"11","5","1","0","0","1","3.2","0.13","0","1","0","0"
"11","5","2","0","0","1","3.2","0.13","0","1","0","0"
"11","5","3","0","0","0","3.1","0.13","0","0","0","0"
"11","5","4","0","0","0","2.9","0.13","0","0","0","0"
"11","5","5","0","0","0","2.7","0.13","0","0","0","0"
"11","5","6","0","0","0","2.4","0.13","0","0","0","0"
"11","5","7","0","8","0","2.7","0.13","7.983","0.142","87.76","5.379"
"11","5","8","9","72","1","3","0.13","69.982","2.349","1218.946","1096.483"
"11","5","9","660","86","4","3","0.13","317.213","10.135","5443.122","5170.98"
"11","5","10","762","95","7","3.1","0.13","502.428","16.777","8987.718","8589.976"
"11","5","11","811","98","9","3.3","0.13","644.225","21.147","11341.974","10860.811"
"11","5","12","292","225","11","3.4","0.13","468.542","19.619","8190.405","7820.915"
"11","5","13","791","98","12","3.4","0.13","723.655","25.408","12558.349","12034.086"
"11","5","14","731","91","12","3.2","0.13","649.703","24.446","11375.856","10893.493"
"11","5","15","614","76","11","2.4","0.13","486.341","21.845","8613.217","8228.745"
"11","5","16","378","47","8","1.5","0.13","221.348","13.909","3799.876","3585.96"
"11","5","17","0","0","5","1.3","0.13","0","5","0","0"
"11","5","18","0","0","4","1.4","0.13","0","4","0","0"
"11","5","19","0","0","4","1.5","0.13","0","4","0","0"
"11","5","20","0","0","4","1.6","0.13","0","4","0","0"
"11","5","21","0","0","4","1.7","0.13","0","4","0","0"
"11","5","22","0","0","3","1.6","0.13","0","3","0","0"
"11","5","23","0","0","3","1.6","0.13","0","3","0","0"
"11","6","0","0","0","3","1.6","0.13","0","3","0","0"
"11","6","1","0","0","4","1.7","0.13","0","4","0","0"
"11","6","2","0","0","4","1.7","0.13","0","4","0","0"
"11","6","3","0","0","4","1.8","0.13","0","4","0","0"
"11","6","4","0","0","4","1.7","0.13","0","4","0","0"
"11","6","5","0","0","4","1.6","0.13","0","4","0","0"
"11","6","6","0","0","4","1.7","0.13","0","4","0","0"
"11","6","7","0","10","4","2.3","0.13","9.978","4.191","108.689","25.567"
"11","6","8","121","80","5","3.1","0.13","92.343","6.697","1495.202","1362.95"
"11","6","9","211","144","7","3.5","0.13","217.117","10.881","3771.836","3558.914"
"11","6","10","272","184","10","3.7","0.13","334.12","15.866","5908.109","5619.49"
"11","6","11","824","90","13","4.1","0.13","640.753","23.717","11180.733","10705.284"
"11","6","12","450","190","14","4.4","0.13","551.762","22.796","9585.059","9166.151"
"11","6","13","466","170","15","4.4","0.13","559.331","23.918","9709.288","9285.978"
"11","6","14","305","161","15","4.1","0.13","412.986","21.856","7219.793","6884.696"
"11","6","15","380","95","13","3","0.13","361.627","20.227","6390.341","6084.635"
"11","6","16","34","49","11","2","0.13","70.023","12.646","1152.048","1031.955"
"11","6","17","0","0","9","1.8","0.13","0","9","0","0"
"11","6","18","0","0","9","1.9","0.13","0","9","0","0"
"11","6","19","0","0","8","2.1","0.13","0","8","0","0"
"11","6","20","0","0","8","2.5","0.13","0","8","0","0"
"11","6","21","0","0","8","2.8","0.13","0","8","0","0"
"11","6","22","0","0","7","2.8","0.13","0","7","0","0"
"11","6","23","0","0","7","2.5","0.13","0","7","0","0"
"11","7","0","0","0","7","2.3","0.13","0","7","0","0"
